seller-sku	asin	item-name	price	estimated-referral-fee-per-item
49-4L7N-RWKA	B07Z8NK8VY	【Smart-Bear】W108 可愛い キッズ 靴下 子供 ボーイズ 靴下 男の子 車 星模様 抗菌防臭 吸汗吸湿 弾性 かわいい 通学 綿 秋冬 5足セット (車柄, L:18～21cm(8-10歳))	1180.00	177.00
4A-DTGP-MQP7	B07RSL86XB	【Smart-Bear】W010 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット (M)	999.00	150.00
4O-JFNX-RKMV	B07RRL7Q84	【Smart-Bear】W007 子供の靴下 ソックス 夏 メッシュ素材 可愛い お姫様 学生用 通園 通学 男女兼用 吸湿 通気 5足セット (L, 男)	899.00	135.00
55-M304-I63G	B07Z8QDC7N	【Smart-Bear】W109 ガールズハイソックス ソックス ベビー 幼児用 キッズ 子供 通学 通園 靴下 可愛い 動物柄 ヨット柄 女の子 男の子 スポーツ くつした 秋 冬 5足セット (ヨット柄, L:15～18cm(5-7歳))	1280.00	192.00
56-GPZ1-N4VR	B07ZDDSYD7	【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (100cm, Best layers)	1680.00	252.00
5K-BESC-9BL4	B077TVGFSG	【Smart-KM】T002 韓国enbihouseレインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (トリ, S)	1680.00	252.00
5T-VATW-H4Y5	B07SPX94WQ	【Smart-Bear】W016 子供の靴下 キッズ 靴下 子供 カラフル くつした 女の子 男の子 ソックス 綿 5足セット (S)	899.00	135.00
6B-6VHD-51SG	B07WYZ9RR4	【Smart-Bear】W107 女の子 靴下 ガールズ ストッキング 子供 くつした ベイビー ダンス用 子ども お姫様の靴下 かわいい蝶結び 学生用 厚い 暖かい 秋 冬 防寒ウールソックス 4色4足セット (S: 9～11cm(0-1歳))	1580.00	237.00
6C-KGBV-BAUF	B07V7CLQL7	【Smart-Bear】T208 傘 子供用 ジャンプ傘 耐風 グラスファイバー 可愛い動物柄 キッズ 長傘 通学 通園 スイーツ ファンシー 雨具 雨傘 軽量 小学生 中学生 丈夫 レース キッズ用 65cm (グリーン)	1880.00	282.00
6G-28VM-5OPH	B07RQGYK5R	【Smart-Bear】W007 子供の靴下 ソックス 夏 メッシュ素材 可愛い お姫様 学生用 通園 通学 男女兼用 吸湿 通気 5足セット (S, 男)	899.00	135.00
