納品番号	FBA15CZ931SM
納品名	FBA (2022/02/03 21:21) - 1
納品プラン番号	PLN1QZ8X2D
納品先	KIX4
SKU 合計	4
商品合計数	129

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
97-W48L-K89A	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ホワイト)	B07C7JX67Y	X000YPFN7L	--	新品	不要	"--"	出品者	30
HM-5URZ-2K38	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (パープル)	B07C7KGKBH	X000YPEORV	UPC: 706352696457	新品	不要	"--"	出品者	9
JQ-MLRE-AH9L	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ブラック)	B07C7NS57M	X000YPEOAN	--	新品	不要	"--"	出品者	80
T8-FSOJ-B0V1	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (レッド)	B07C7PVL42	X000YPFNUN	UPC: 706352696464	新品	不要	"--"	出品者	10
